Run 2
29.000000000000142, 33.76923076923077, 26, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.100000000000144, 32.51851851851852, 27, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.200000000000145, 34.32142857142857, 28, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.300000000000146, 32.44827586206897, 29, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.400000000000148, 32.03333333333333, 30, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.50000000000015, 54.903225806451616, 31, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.60000000000015, 53.1875, 32, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.700000000000152, 50.96969696969697, 33, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.800000000000153, 49.470588235294116, 34, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.900000000000155, 48.05714285714286, 35, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.000000000000156, 46.72222222222222, 36, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.100000000000158, 44.91891891891892, 37, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.20000000000016, 43.73684210526316, 38, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.30000000000016, 42.12820512820513, 39, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.400000000000162, 45.225, 40, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.500000000000163, 50.46341463414634, 41, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.600000000000165, 49.26190476190476, 42, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.700000000000166, 47.651162790697676, 43, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.800000000000168, 46.56818181818182, 44, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.90000000000017, 45.53333333333333, 45, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.00000000000017, 44.54347826086956, 46, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.100000000000172, 48.276595744680854, 47, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.200000000000173, 46.854166666666664, 48, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
