"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
28.8810, 40.81818181818182, 15454.5759, 71, 0.2810, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
28.9821, 39.04347826086956, 15527.1239, 71, 0.2821, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.0837, 36.583333333333336, 15562.2261, 71, 0.2837, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.1850, 35.12, 15708.1057, 71, 0.2850, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.2861, 33.76923076923077, 15854.0829, 71, 0.2861, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.3876, 32.51851851851852, 15925.8763, 71, 0.2876, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.4890, 34.32142857142857, 15981.2305, 71, 0.2890, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.5898, 32.44827586206897, 16015.2724, 71, 0.2898, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.6910, 32.03333333333333, 16130.5203, 71, 0.2910, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.7923, 54.903225806451616, 16245.4281, 71, 0.2923, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.8932, 53.1875, 16381.6018, 71, 0.2932, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
29.9948, 50.96969696969697, 16414.8423, 71, 0.2948, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.0962, 49.470588235294116, 16470.5702, 71, 0.2962, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.1973, 48.05714285714286, 16537.4468, 71, 0.2973, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.2983, 46.72222222222222, 16604.5220, 71, 0.2983, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.3993, 44.91891891891892, 16640.7649, 71, 0.2993, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.5034, 43.73684210526316, 16782.8829, 71, 0.3034, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.6068, 42.12820512820513, 16897.4902, 71, 0.3068, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.7098, 45.225, 16952.2537, 71, 0.3098, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.8119, 50.46341463414634, 17067.8629, 71, 0.3119, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
30.9138, 49.26190476190476, 17139.6226, 71, 0.3138, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.0161, 47.651162790697676, 17173.3481, 71, 0.3161, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.1175, 46.56818181818182, 17312.0673, 71, 0.3175, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.2189, 45.53333333333333, 17368.3280, 71, 0.3189, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.3202, 44.54347826086956, 17438.1685, 71, 0.3202, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.4215, 48.276595744680854, 17555.6759, 71, 0.3215, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.5230, 46.854166666666664, 17589.2282, 71, 0.3230, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.6246, 45.89795918367347, 17650.5865, 71, 0.3246, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.7260, 44.98, 17795.3232, 71, 0.3260, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.8271, 44.09803921568628, 17853.4662, 71, 0.3271, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.9290, 43.25, 17999.7669, 71, 0.3290, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.0308, 42.43396226415094, 18072.9800, 71, 0.3308, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.1324, 41.27777777777778, 18107.1852, 71, 0.3324, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.2339, 40.18181818181818, 18227.2524, 71, 0.3339, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.3361, 47.69642857142857, 18347.0775, 71, 0.3361, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.4378, 60.01754385964912, 18407.9836, 71, 0.3378, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.5391, 58.63793103448276, 18442.9511, 71, 0.3391, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.6415, 57.644067796610166, 18514.5901, 71, 0.3415, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.7429, 56.68333333333333, 18656.6673, 71, 0.3429, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.8446, 58.704918032786885, 18777.7183, 71, 0.3446, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.9462, 57.75806451612903, 18849.1481, 71, 0.3462, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.6731, 56.84126984126984, 34115.1428, 71, 0.4731, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.7747, 55.640625, 34151.0086, 71, 0.4747, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.8761, 56.06153846153846, 34206.6558, 71, 0.4761, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.9775, 55.21212121212121, 34272.3773, 71, 0.4775, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.0789, 54.38805970149254, 34404.9183, 71, 0.4789, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.1804, 53.294117647058826, 34437.9092, 71, 0.4804, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.2820, 52.52173913043478, 34492.3576, 71, 0.4820, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.3835, 51.5, 34604.2643, 71, 0.4835, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.4913, 55.0, 34726.4450, 71, 0.4913, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
