# gen;best_fit
0;260
1;260
2;260
3;260
4;260
5;260
6;260
7;260
8;260
9;260
10;160
11;160
12;160
13;160
14;160
15;160
16;70
17;70
18;70
19;70
20;40
21;40
22;40
23;40
24;40
25;40
26;40
27;40
28;20
29;20
30;20
31;20
32;20
33;20
34;20
35;20
36;20
37;8
38;8
39;8
40;4
41;4
42;4
43;4
44;4
45;4
46;4
47;4
48;4
49;4
50;4
51;4
52;4
53;4
54;4
55;4
56;4
57;4
58;4
59;4
60;4
61;4
62;4
63;4
64;4
65;4
66;4
67;4
68;4
69;4
70;4
71;4
72;4
73;4
74;4
75;4
76;4
77;4
78;4
79;4
80;4
81;4
82;4
83;4
84;4
85;4
86;4
87;4
88;4
89;4
90;4
91;4
92;4
93;4
94;4
95;4
96;4
97;4
98;4
99;4
100;4
101;4
102;4
103;4
104;4
105;4
106;4
107;4
108;4
109;4
110;4
111;4
112;4
113;4
114;4
115;4
116;4
117;4
118;4
119;4
120;4
121;4
122;4
123;4
124;4
125;4
126;4
127;4
128;4
129;4
130;4
131;4
132;4
133;4
134;4
135;4
136;4
137;4
138;4
139;4
140;4
141;4
142;4
143;4
144;4
145;4
146;4
147;4
148;4
149;4
150;4
151;4
152;4
153;4
154;4
155;4
156;4
157;4
158;4
159;4
160;4
161;4
162;4
163;4
164;4
165;4
166;4
167;4
168;4
169;4
170;4
171;4
172;4
173;4
174;4
175;4
176;4
177;4
178;4
179;4
180;4
181;4
182;4
183;4
184;4
185;4
186;4
187;4
188;4
189;4
190;4
191;4
192;4
193;4
194;4
195;4
196;4
197;4
198;4
199;4
200;4
201;4
202;4
203;4
204;4
205;4
206;4
207;4
208;4
209;4
210;4
211;4
212;4
213;4
214;4
215;4
216;4
217;4
218;4
219;4
220;4
221;4
222;4
223;4
224;4
225;4
226;4
227;4
228;4
229;4
230;4
231;4
232;4
233;4
234;4
235;4
236;4
237;4
238;4
239;4
240;4
241;4
242;4
243;4
244;4
245;4
246;4
247;4
248;4
249;4
250;4
251;4
252;4
253;4
254;4
255;4
256;4
257;4
258;4
259;4
260;4
261;4
262;0.857143
263;0.857143
264;0.857143
265;0.857143
266;0.857143
267;0.857143
268;0.857143
269;0.857143
270;0.857143
271;0.857143
272;0.857143
273;0.857143
274;0.857143
275;0.857143
276;0.857143
277;0.857143
278;0.857143
279;0.857143
280;0.857143
281;0.857143
282;0.857143
283;0.857143
284;0.857143
285;0.857143
286;0.857143
287;0.857143
288;0.857143
289;0.857143
290;0.857143
291;0.857143
292;0.857143
293;0.857143
294;0.857143
295;0.857143
296;0.857143
297;0.857143
298;0.857143
299;0.857143
300;0.857143
301;0.857143
302;0.857143
303;0.857143
304;0.857143
305;0.857143
306;0.857143
307;0.857143
308;0.857143
309;0.857143
310;0.857143
311;0.857143
312;0.857143
313;0.857143
314;0.857143
315;0.857143
316;0.857143
317;0.857143
318;0.857143
319;0.857143
320;0.857143
321;0.857143
322;0.857143
323;0.857143
324;0.857143
325;0.857143
326;0.857143
327;0.857143
328;0.857143
329;0.857143
330;0.857143
331;0.857143
332;0.857143
333;0.857143
334;0.857143
335;0.857143
336;0.857143
337;0.857143
338;0.857143
339;0.857143
340;0.857143
341;0.857143
342;0.857143
343;0.857143
344;0.857143
345;0.857143
346;0.857143
347;0.857143
348;0.857143
349;0.857143
350;0.857143
351;0.857143
352;0.857143
353;0.857143
354;0.857143
355;0.857143
356;0.857143
357;0.857143
358;0.857143
359;0.857143
360;0.857143
361;0.857143
362;0.857143
363;0.857143
364;0.857143
365;0.857143
366;0.857143
367;0.857143
368;0.857143
369;0.857143
370;0.857143
371;0.857143
372;0.857143
373;0.857143
374;0.857143
375;0.857143
376;0.857143
377;0.857143
378;0.857143
379;0.857143
380;0.857143
381;0.857143
382;0.857143
383;0.857143
384;0.857143
385;0.857143
386;0.857143
387;0.857143
388;0.857143
389;0.857143
390;0.857143
391;0.857143
392;0.857143
393;0.857143
394;0.857143
395;0.857143
396;0.857143
397;0.857143
398;0.857143
399;0.857143
400;0.857143
401;0.857143
402;0.857143
403;0.857143
404;0.857143
405;0.857143
406;0.857143
407;0.857143
408;0.857143
409;0.857143
410;0.857143
411;0.857143
412;0.857143
413;0.857143
414;0.857143
415;0.857143
416;0.857143
417;0.857143
418;0.857143
419;0.857143
420;0.857143
421;0.857143
422;0.857143
423;0.857143
424;0.857143
425;0.857143
426;0.857143
427;0.857143
428;0.857143
429;0.857143
430;0.857143
431;0.857143
432;0.857143
433;0.857143
434;0.857143
435;0.857143
436;0.857143
437;0.857143
438;0.857143
439;0.857143
440;0.857143
441;0.857143
442;0.857143
443;0.857143
444;0.857143
445;0.857143
446;0.857143
447;0.857143
448;0.857143
449;0.857143
450;0.857143
451;0.857143
452;0.857143
453;0.857143
454;0.857143
455;0.857143
456;0.857143
457;0.857143
458;0.857143
459;0.857143
460;0.857143
461;0.857143
462;0.857143
463;0.857143
464;0.857143
465;0.857143
466;0.857143
467;0.857143
468;0.857143
469;0.857143
470;0.857143
471;0.857143
472;0.857143
473;0.857143
474;0.857143
475;0.857143
476;0.857143
477;0.857143
478;0.857143
479;0.857143
480;0.857143
481;0.857143
482;0.857143
483;0.857143
484;0.857143
485;0.857143
486;0.857143
487;0.857143
488;0.857143
489;0.857143
490;0.857143
491;0.857143
492;0.857143
493;0.857143
494;0.857143
495;0.857143
496;0.857143
497;0.857143
498;0.857143
499;0.857143
500;0.857143
501;0.857143
502;0.857143
503;0.857143
504;0.857143
505;0.857143
506;0.857143
507;0.857143
508;0.857143
509;0.857143
510;0.857143
511;0.857143
512;0.857143
513;0.857143
514;0.857143
515;0.857143
516;0.857143
517;0.857143
518;0.857143
519;0.857143
520;0.857143
521;0.857143
522;0.857143
523;0.857143
524;0.857143
525;0.857143
526;0.857143
527;0.857143
528;0.857143
529;0.857143
530;0.857143
531;0.857143
532;0.857143
533;0.857143
534;0.857143
535;0.857143
536;0.857143
537;0.857143
538;0.857143
539;0.857143
540;0.857143
541;0.857143
542;0.857143
543;0.857143
544;0.857143
545;0.857143
546;0.857143
547;0.857143
548;0.857143
549;0.857143
550;0.857143
551;0.857143
552;0.857143
553;0.857143
554;0.857143
555;0.857143
556;0.857143
557;0.857143
558;0.857143
559;0.857143
560;0.857143
561;0.857143
562;0.857143
563;0.857143
564;0.857143
565;0.857143
566;0.857143
567;0.857143
568;0.857143
569;0.857143
570;0.857143
571;0.857143
572;0.857143
573;0.857143
574;0.857143
575;0.857143
576;0.857143
577;0.857143
578;0.857143
579;0.857143
580;0.857143
581;0.857143
582;0.857143
583;0.857143
584;0.857143
585;0.857143
586;0.857143
587;0.857143
588;0.857143
589;0.857143
590;0.857143
591;0.857143
592;0.857143
593;0.857143
594;0.857143
595;0.857143
596;0.857143
597;0.857143
598;0.857143
599;0.857143
